,cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Latitude Bins
0,petropavlovsk-kamchatskiy,75,RU,07/22/2018 23:30:00,87,53.05,158.65,59.0,8.95,30 to 60
1,mlandizi,12,TZ,07/23/2018 00:12:44,81,-6.71,38.74,72.66,12.44,-30 to 30
2,bluff,0,AU,07/23/2018 00:12:44,50,-23.58,149.07,63.03,4.72,-30 to 30
3,mogadishu,92,SO,07/23/2018 00:08:23,99,2.04,45.34,76.62,22.17,0 to 30
4,rikitea,100,PF,07/23/2018 00:12:44,100,-23.12,-134.97,70.59,10.65,-30 to 30
5,pacific grove,1,US,07/22/2018 23:35:00,47,36.62,-121.92,77.0,21.92,30 to 60
6,yellowknife,75,CA,07/22/2018 23:00:00,39,62.45,-114.38,66.2,17.22,60 to 90
7,fortuna,0,ES,07/23/2018 00:00:00,83,38.18,-1.13,77.0,2.24,30 to 60
8,vaini,92,IN,07/23/2018 00:08:04,99,15.34,74.49,70.14,8.75,0 to 30
9,sorland,64,NO,07/23/2018 00:08:04,96,67.67,12.69,56.64,23.06,60 to 90
10,port hedland,0,AU,07/23/2018 00:00:00,82,-20.31,118.58,64.4,4.7,-30 to 30
11,te anau,92,NZ,07/23/2018 00:09:06,100,-45.41,167.72,39.72,3.94,-60  to -30
12,busselton,92,AU,07/23/2018 00:12:47,100,-33.64,115.35,61.59,24.96,-60  to -30
13,saiha,92,IN,07/23/2018 00:12:47,99,22.49,92.98,69.33,1.92,0 to 30
14,aksu,90,KZ,07/22/2018 23:30:00,100,52.04,76.93,55.4,8.95,30 to 60
15,hermanus,0,ZA,07/23/2018 00:12:48,35,-34.42,19.24,67.8,7.63,-60  to -30
17,san juan,90,PH,07/22/2018 23:00:00,100,14.6,121.03,78.8,9.17,0 to 30
19,rawson,0,AR,07/23/2018 00:12:49,49,-43.3,-65.11,35.49,12.33,-60  to -30
20,albany,75,US,07/22/2018 23:54:00,58,42.65,-73.75,82.4,10.29,30 to 60
21,khatanga,56,RU,07/23/2018 00:07:54,74,71.98,102.47,41.07,12.21,60 to 90
22,surat thani,20,TH,07/23/2018 00:00:00,94,9.14,99.33,77.0,5.82,0 to 30
23,georgetown,20,GY,07/22/2018 23:00:00,83,6.8,-58.16,80.6,6.93,0 to 30
24,urubicha,0,BO,07/23/2018 00:12:51,86,-15.63,-63.08,66.99,3.15,-30 to 30
25,kulhudhuffushi,64,MV,07/23/2018 00:12:51,100,6.62,73.07,81.21,21.83,0 to 30
26,bethel,75,US,07/22/2018 23:53:00,56,60.79,-161.76,68.0,18.34,60 to 90
27,sorong,80,ID,07/23/2018 00:12:52,100,-0.86,131.25,79.59,9.75,-30 to 30
28,saskylakh,20,RU,07/23/2018 00:12:53,87,71.97,114.09,42.06,9.42,60 to 90
29,east london,0,ZA,07/23/2018 00:12:53,94,-33.02,27.91,69.87,13.22,-60  to -30
30,desesti,88,RO,07/23/2018 00:00:00,88,47.77,23.85,66.2,2.24,30 to 60
31,buchanan,20,LR,07/22/2018 23:30:00,88,5.88,-10.05,77.0,5.17,0 to 30
32,san patricio,12,PY,07/23/2018 00:12:54,71,-26.98,-56.83,55.11,4.94,-30 to 30
33,seoul,75,KR,07/22/2018 23:56:00,74,37.57,126.98,87.8,3.6,30 to 60
34,thompson,90,CA,07/22/2018 23:08:00,56,55.74,-97.86,71.6,5.82,30 to 60
35,muros,0,ES,07/23/2018 00:00:00,93,42.77,-9.06,62.6,5.82,30 to 60
36,kyabram,76,AU,07/23/2018 00:12:55,91,-36.31,145.05,44.4,10.98,-60  to -30
37,jamestown,80,AU,07/23/2018 00:12:55,42,-33.21,138.6,56.37,20.15,-60  to -30
38,bredasdorp,0,ZA,07/22/2018 23:00:00,76,-34.53,20.04,48.2,3.36,-60  to -30
39,butaritari,64,KI,07/23/2018 00:12:56,100,3.07,172.79,82.02,4.94,0 to 30
41,severo-kurilsk,88,RU,07/23/2018 00:12:57,96,50.68,156.12,51.51,14.0,30 to 60
42,tak,75,TH,07/23/2018 00:00:00,94,16.87,99.12,75.2,5.73,0 to 30
43,barentu,92,ER,07/23/2018 00:12:57,100,15.11,37.59,66.27,3.27,0 to 30
44,ushuaia,40,AR,07/22/2018 23:00:00,64,-54.81,-68.31,37.4,5.82,-60  to -30
45,gaziantep,0,TR,07/22/2018 23:50:00,36,37.06,37.38,80.6,10.29,30 to 60
46,torbay,90,CA,07/23/2018 00:00:00,100,47.66,-52.73,64.4,21.92,30 to 60
